# This dataset provides a comprehensive look at Airbnb prices in London. ,,,,,,,,,,,,,,,,,
# The dataset includes information such as realSum (the total price of the listing); multi (indicator if the listing belongs to hosts with 2-4 offers); biz (indicator if the listing belongs to hosts with more than 4 offers); bedrooms (0 for studios); dist (distance from city center) ; attr_index (accessibility of attractions within the city); rest_index (accessibility of restaurants within the city) etc. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
144,161.1,Private room,FALSE,TRUE,3,FALSE,1,0,9,86,1,4.364420556,0.233924748,345.5926855,585.3849454,-0.06625,51.49956
145,235.89,Private room,FALSE,TRUE,2,FALSE,1,0,10,91,1,4.194131383,1.17630385,257.405299,479.7424946,-0.1,51.47477
146,257.77,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,97,2,5.28963928,1.720103159,210.4763609,461.941819,-0.162,51.46594
147,111.01,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,11.95608556,3.583205457,105.9466297,212.274284,0.03652,51.47576
148,401.94,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,94,1,5.261929501,0.064047631,223.4361999,486.8200163,-0.16408,51.54975
149,154.52,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,5.607218022,0.682032266,194.3629546,403.6039434,-0.12151,51.45807
150,180.39,Private room,FALSE,TRUE,2,FALSE,0,0,9,92,1,4.890792118,1.569664827,240.2297383,535.8227059,-0.07533,51.53786
151,109.6,Private room,FALSE,TRUE,2,FALSE,1,0,8,86,1,4.76710262,0.239341515,298.1348434,531.1630753,-0.06061,51.49872
152,238.48,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,95,1,6.638977563,1.5968611,165.823917,348.1423938,-0.12115,51.44879
153,283.4,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,8,88,1,4.792291494,0.649890301,264.7433378,650.5345956,-0.19553,51.51565
154,103.25,Private room,FALSE,TRUE,2,FALSE,0,0,9,93,1,6.74779117,1.082040464,163.1106752,346.6338473,-0.13363,51.4478
155,170.04,Private room,FALSE,TRUE,2,TRUE,0,0,9,98,1,7.534212466,2.703018278,171.3620586,334.4425478,-0.03133,51.47702
156,164.87,Private room,FALSE,TRUE,2,FALSE,0,0,10,97,1,5.522551658,1.067407596,198.8406647,426.3585638,-0.1536,51.46144
157,135.23,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,8.889868014,0.534210828,125.5243918,285.0462816,-0.16038,51.43111
158,303.86,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,86,1,5.161165765,0.801188134,211.2209385,445.7045329,-0.14915,51.46395
159,232.13,Private room,FALSE,TRUE,2,FALSE,0,1,10,94,1,1.800709967,0.186744534,561.5266278,1001.545811,-0.10405,51.50143
160,670.05,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,90,2,3.589806265,0.201306209,341.841002,798.9162955,-0.17815,51.51484
161,206.26,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.116689793,1.674423423,217.1357048,465.6317809,-0.1606,51.46724
162,180.39,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,9.326824286,1.889983421,162.1430547,336.1234099,0.00083,51.48366
163,1526.85,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,92,2,2.289723172,0.410344515,474.7816109,905.2909482,-0.15345,51.49562
